First Name,Last Name,Date of Birth (Y-m-d),State,Sex,Height (cm),Weight (KG)
Alexandrine,Brekke,07/06/1979,Idaho,female,186,88
Adonis,Koch,03/09/1976,Louisiana,male,170,78
Burley,Koss,15/04/1982,Michigan,female,150,74
Howell,Botsford,10/04/1972,Nebraska,female,175,146
Marietta,Maggio,13/06/1986,NewMexico,male,156,106
Kellie,Swaniawski,03/01/1975,Missouri,female,173,110
Abe,Lubowitz,02/12/1978,Missouri,female,194,157
Wilbert,Bednar,12/01/1979,Minnesota,female,175,55
Neha,Heaney,07/03/1977,NorthDakota,male,186,86
Mortimer,Quigley,02/12/1973,Arizona,female,165,100
Nayeli,Leannon,16/08/1991,Nevada,female,157,68
Pierce,Hermann,04/12/1968,SouthCarolina,male,189,112
Dawson,Volkman,11/09/1974,Oregon,male,198,114
Lazaro,Pfannerstill,05/08/1983,Missouri,male,181,59
Dee,Hermiston,17/06/1983,Idaho,female,175,73
Unique,Hickle,26/08/1974,Iowa,male,176,124
Marge,Hahn,25/03/1965,NewHampshire,male,152,109
Porter,Schmeler,22/09/1993,Wyoming,male,185,53
Providenci,Kiehn,29/05/1982,Florida,female,167,133
Mia,Bauch,29/09/1990,Hawaii,male,189,55
Myron,Romaguera,25/01/1977,Minnesota,male,167,71
Tremaine,Schaden,12/09/1978,Ohio,female,162,158
Edgar,Littel,07/09/1990,Florida,male,170,153
Itzel,Wilderman,01/12/1975,Ohio,male,189,111
Sigmund,Quitzon,24/11/1989,Vermont,female,150,56
Kenneth,Breitenberg,12/09/1988,Minnesota,male,189,113
Sean,Terry,26/03/1978,Montana,female,153,118
Marlin,Hamill,02/12/1964,Ohio,female,167,86
Magdalen,Wuckert,29/11/1970,Pennsylvania,female,183,125
Brittany,Kulas,17/07/1967,Wisconsin,female,165,100
Antoinette,Steuber,16/03/1980,Wisconsin,female,169,137
Delfina,Kovacek,07/11/1974,Wisconsin,female,183,53
Garth,Schultz,06/05/1986,Oklahoma,female,174,96
Markus,Rutherford,16/08/1987,Louisiana,male,194,71
Lilla,Leannon,22/09/1966,Wisconsin,male,168,73
Cristian,Kling,11/07/1964,Wisconsin,male,152,159
Kennedi,Bruen,27/10/1993,Maine,female,171,57
Delia,Hyatt,10/01/1976,SouthDakota,female,166,95
Ariel,Lueilwitz,25/06/1984,Louisiana,female,162,56
Aditya,Spinka,02/04/1969,Alaska,male,197,89
Tomasa,Gutkowski,01/02/1972,Arizona,female,183,133
Einar,Doyle,09/12/1968,Delaware,female,179,94
Wilhelm,Durgan,15/11/1980,Kentucky,male,174,146
Deshawn,Donnelly,15/03/1988,Iowa,female,165,132
Keaton,O'Hara,12/06/1992,Georgia,female,185,60
Walton,Hamill,11/07/1974,SouthDakota,female,157,66
Agustin,O'Kon,20/12/1985,NewHampshire,female,158,113
Brennon,O'Conner,24/09/1989,Georgia,male,191,149
Caitlyn,Braun,23/03/1979,SouthCarolina,male,190,66
Stone,Reichel,22/02/1984,Alabama,female,172,58
Braeden,Lang,28/06/1969,Ohio,male,177,130
Hassie,Bogan,06/06/1987,Wyoming,female,172,83
Austin,Nader,23/03/1981,Florida,female,168,136
Lonnie,Schneider,31/05/1971,Oklahoma,male,186,59
Reyna,Kuhic,08/06/1982,NewJersey,male,162,137
Newton,Donnelly,13/07/1969,SouthCarolina,female,200,153
Taya,Mills,27/05/1969,Indiana,male,187,62
Adolphus,Lockman,12/02/1973,Georgia,male,176,153
Kara,Towne,06/02/1977,Louisiana,male,186,130
Maryjane,Powlowski,19/12/1992,NewMexico,male,200,68
Reginald,Legros,08/11/1972,Nevada,male,180,128
Frieda,Kunze,30/07/1978,Kentucky,male,199,67
Stefanie,Morar,25/06/1978,Wisconsin,male,188,108
Peggie,Mante,26/03/1967,Indiana,male,169,76
Juwan,Shanahan,06/08/1965,Pennsylvania,male,189,104
Deron,Bednar,09/05/1970,NewHampshire,female,162,103
Grayson,Shanahan,04/01/1985,Colorado,male,195,72
Elva,Welch,14/02/1978,Wyoming,female,154,130
Lew,Konopelski,16/09/1964,Washington,female,160,99
Valentin,Rau,01/08/1987,Wyoming,female,173,97
Gracie,Franecki,13/12/1974,Georgia,female,190,53
Rickie,Medhurst,26/08/1993,Ohio,female,193,50
Graciela,Jaskolski,01/03/1970,NewMexico,male,161,133
Sheldon,Glover,16/10/1976,Washington,male,168,66
Emanuel,Pfannerstill,11/04/1978,SouthCarolina,female,179,151
Gia,Gaylord,31/01/1975,California,male,180,69
Calista,Nikolaus,10/08/1968,WestVirginia,female,177,56
Kim,Bergstrom,08/06/1991,Utah,male,180,67
Myah,Bailey,20/11/1982,Minnesota,female,179,90
Delbert,Keeling,05/03/1971,NewJersey,male,164,141
Mitchell,Schoen,30/03/1992,Washington,male,158,119
Abbie,Spencer,06/02/1987,Virginia,male,187,103
Markus,Hyatt,01/05/1964,Ohio,male,174,127
Jordon,Flatley,11/09/1990,Indiana,male,187,55
Jasmin,Schneider,12/07/1992,Louisiana,male,161,120
Abby,Flatley,07/10/1979,Alabama,male,160,74
Merritt,Becker,31/05/1979,Nebraska,male,184,134
Jerad,Oberbrunner,01/09/1971,Alaska,female,167,89
Lydia,Pagac,13/09/1965,WestVirginia,female,187,153
Kirsten,Lemke,01/10/1970,Oregon,female,179,74
Zane,Wisoky,07/06/1991,NewYork,male,193,92
Porter,Gottlieb,14/02/1987,Montana,female,157,63
Carey,Howell,08/05/1983,Washington,female,173,115
Henderson,Hudson,02/12/1980,Indiana,female,177,86
Barton,Metz,25/04/1990,Arizona,male,188,111
Christelle,Oberbrunner,22/01/1978,Kansas,male,195,134
Norbert,Tillman,09/10/1980,Virginia,male,159,97
Norberto,Turner,14/04/1981,Montana,female,178,135
Ova,Beier,22/11/1980,NorthCarolina,male,154,106
Patsy,Blanda,10/04/1990,Idaho,female,199,59
Gaylord,Goldner,12/07/1980,Montana,male,185,154
Gerardo,Hackett,07/11/1982,Mississippi,male,151,60
Barton,Schmeler,26/12/1975,Wisconsin,female,193,112
Chanelle,Spencer,17/10/1973,SouthCarolina,male,168,60
Jacynthe,Schulist,15/08/1985,Kentucky,female,197,143
Roy,Reilly,13/03/1985,NorthDakota,male,156,130
Marilie,Luettgen,09/08/1964,Washington,female,178,151
Valentina,Klocko,31/03/1971,SouthCarolina,female,187,102
Oswald,Mann,20/10/1984,NewJersey,male,164,111
Virgie,Gerlach,16/02/1969,Iowa,male,188,108
Abraham,Stracke,11/07/1965,Montana,male,172,74
Jessy,Heller,09/11/1989,NewJersey,male,176,77
Mustafa,Lesch,28/08/1978,Alaska,female,186,59
Henry,Harber,18/08/1970,Tennessee,female,175,99
Madilyn,Reichel,24/10/1975,Washington,female,181,91
Larissa,Daniel,15/04/1993,Maryland,male,164,106
Alana,Predovic,19/10/1971,Massachusetts,male,186,57
Catherine,Rohan,26/11/1973,Pennsylvania,female,178,139
Adrienne,Ruecker,08/01/1979,Oklahoma,male,159,60
Modesta,Hauck,23/01/1984,Pennsylvania,female,166,143
Emilie,VonRueden,06/01/1979,SouthDakota,male,177,82
Eldora,Deckow,25/07/1993,Virginia,male,185,140
Rosie,Rohan,20/05/1989,Louisiana,female,197,109
Jarvis,Wiegand,26/03/1965,Maryland,female,187,54
Ashlynn,Jacobson,02/11/1973,Maine,male,182,122
Sydnee,Bashirian,21/11/1976,Missouri,female,169,153
Myrtis,Franecki,27/07/1975,Oklahoma,female,193,121
Davonte,Legros,09/07/1984,Kentucky,female,162,72
Domenico,Gulgowski,31/07/1984,Wisconsin,female,156,93
Rozella,Williamson,01/09/1975,Missouri,female,177,128
Trystan,Bruen,12/08/1991,Tennessee,female,175,77
Katelyn,Lang,16/01/1983,NewHampshire,female,183,154
Nannie,Grimes,13/12/1970,Alabama,male,153,147
Lorenza,Kshlerin,13/03/1979,Kentucky,male,179,119
Kathlyn,Adams,21/03/1987,Maryland,female,176,79
Dee,Willms,13/12/1983,Massachusetts,female,193,123
Eileen,Mitchell,18/02/1968,Nevada,female,185,107
Drake,O'Connell,26/07/1987,Pennsylvania,female,179,135
Justen,Nolan,12/02/1982,Delaware,male,165,149
Isidro,Reynolds,03/06/1968,Arkansas,female,155,98
Lenora,Hamill,19/12/1991,SouthDakota,male,187,153
Bettie,Roob,14/07/1973,NewHampshire,male,184,116
Evan,Torphy,21/05/1990,Utah,female,172,124
Ashleigh,Hermiston,02/01/1989,Kansas,female,187,77
Ahmed,Purdy,25/09/1968,NorthCarolina,female,152,135
Kaitlyn,Sanford,16/02/1990,Oklahoma,male,151,118
Dell,Lueilwitz,07/12/1989,Oregon,female,198,84
Valentin,Doyle,17/11/1987,NewYork,female,175,149
Oscar,Schimmel,02/07/1968,Oregon,female,163,71
Kennedy,Langworth,26/05/1978,Arkansas,male,171,82
Esteban,Heaney,22/03/1974,Kansas,male,164,54
Angeline,Carroll,24/08/1972,RhodeIsland,female,169,129
Joanny,Haley,23/01/1983,Montana,male,171,67
Mack,Jones,15/02/1965,SouthDakota,female,168,148
Lonny,Kutch,13/04/1990,Kentucky,male,196,155
Grant,Howell,19/12/1965,Texas,female,187,158
Eloise,Paucek,01/07/1970,Oklahoma,male,160,153
Johanna,Langosh,11/07/1991,Massachusetts,male,160,98
Dolores,Hoeger,17/11/1990,Louisiana,male,199,127
Rozella,Davis,01/12/1980,Michigan,female,182,62
Efren,Kirlin,30/06/1985,Alaska,female,187,93
Aurelio,Goodwin,30/12/1965,NewYork,male,189,135
Thalia,Lakin,16/07/1974,Connecticut,female,170,72
Lincoln,Bayer,22/11/1993,Virginia,male,185,112
Maya,Gusikowski,08/09/1985,Hawaii,male,162,101
Carmella,Franecki,31/08/1977,Massachusetts,male,178,71
Roy,Oberbrunner,17/07/1982,Idaho,male,175,93
Clyde,Sauer,18/11/1964,NewHampshire,female,188,115
Molly,Quitzon,23/09/1975,Pennsylvania,male,195,112
Noemie,Mayer,19/01/1979,Nebraska,female,162,71
Shemar,Hickle,08/11/1983,Arizona,female,194,152
Ross,Smitham,29/11/1988,Montana,female,177,127
Bernhard,Schneider,14/08/1986,Massachusetts,female,197,60
Ruthie,Heller,06/11/1988,RhodeIsland,male,174,137
Genoveva,Kirlin,26/03/1969,Arizona,female,196,54
Favian,Bailey,07/10/1989,Alaska,male,165,116
Shawn,Pagac,11/09/1976,Nevada,female,184,61
Sylvester,Cassin,07/04/1964,Montana,male,199,145
Leonora,Hand,23/02/1989,Tennessee,female,185,134
Susan,Wilderman,30/05/1983,Mississippi,female,156,160
Adolf,Schultz,03/01/1969,Washington,female,184,145
Noel,Cartwright,05/04/1964,Tennessee,male,180,94
Leonel,Smitham,10/01/1992,Connecticut,female,165,86
Lia,Robel,14/05/1968,Arizona,male,160,139
Shanie,Lockman,15/04/1981,Kansas,male,184,129
Kody,McLaughlin,06/05/1992,Connecticut,male,181,52
Dakota,Batz,18/12/1981,Minnesota,male,187,126
Elton,Collier,07/12/1984,NewHampshire,female,163,123
Jimmy,Larkin,28/03/1968,Wisconsin,female,169,90
Ettie,Hermiston,24/04/1985,Kansas,female,153,104
Felipe,Blanda,07/02/1975,Alaska,female,197,67
Maude,Gislason,30/05/1979,Washington,male,187,134
Steve,Pacocha,16/11/1965,Iowa,male,161,56
Gene,Ward,06/08/1972,Montana,male,191,79
Connor,Stamm,23/12/1978,Alaska,female,159,154
Elouise,Becker,28/01/1971,Missouri,female,181,111
Cecelia,Legros,29/01/1976,Tennessee,female,182,82
Isabella,Herman,07/09/1982,SouthDakota,male,188,111
Dino,Jacobi,29/05/1969,Massachusetts,female,188,153
Karelle,Marvin,08/06/1979,Nevada,male,175,159
Ted,Gusikowski,06/11/1988,NewYork,male,162,152
Christelle,Corkery,14/07/1964,Alabama,male,193,122
Bernard,Klein,15/08/1982,NorthCarolina,male,193,148
Vaughn,Hyatt,23/10/1967,Illinois,male,160,127
Cole,Hoppe,01/08/1969,Wyoming,male,167,149
Lucie,Koelpin,16/02/1986,Wyoming,female,159,106
Rodrick,Rosenbaum,19/06/1974,Maine,male,153,65
Francesco,Crona,25/09/1993,SouthCarolina,female,183,149
Wyman,Nikolaus,18/04/1967,Maryland,female,194,121
Kolby,Kling,13/12/1985,Connecticut,female,174,65
Verona,Pacocha,07/11/1972,Tennessee,female,178,92
Shanelle,McLaughlin,13/06/1992,SouthCarolina,male,191,75
Eldora,Baumbach,24/07/1989,NorthDakota,male,191,59
Oswald,Lynch,27/07/1966,NewYork,female,194,81
Edyth,Quitzon,21/05/1968,RhodeIsland,female,160,119
Brennon,Hegmann,27/05/1967,Iowa,male,175,141
Kelvin,Emard,30/12/1984,Wisconsin,male,166,149
Cruz,Christiansen,04/01/1978,Tennessee,male,172,110
Reyna,Weissnat,21/03/1972,Pennsylvania,female,155,97
Kristy,Schroeder,14/04/1979,Washington,female,186,150
Kailey,Boehm,07/11/1974,SouthDakota,male,165,101
Flavie,Olson,01/06/1971,Wyoming,female,191,80
Zola,Mante,06/12/1984,Idaho,female,200,60
Monique,Wolff,22/01/1992,Kentucky,female,152,158
Dasia,Breitenberg,17/09/1971,Minnesota,female,190,71
Jaden,Ondricka,26/03/1991,Arizona,male,172,125
Tessie,Rippin,04/07/1970,Nebraska,male,180,50
Dolores,Altenwerth,26/11/1983,RhodeIsland,female,195,98
Colt,Gulgowski,19/01/1974,Idaho,male,153,110
Fernando,Murazik,06/11/1984,Maryland,male,196,78
Zelma,Orn,24/04/1975,Tennessee,female,194,111
Quentin,Beahan,29/04/1977,Louisiana,female,161,91
Carson,Weissnat,23/10/1981,Utah,male,190,89
Audie,Renner,06/05/1977,NewHampshire,female,173,93
Reuben,White,08/03/1991,SouthDakota,male,171,70
Lia,Mills,11/01/1977,Minnesota,female,150,120
Sage,Pagac,01/03/1983,Alaska,female,170,75
Kaela,Robel,21/11/1972,Oregon,male,185,63
Chelsey,Hahn,10/05/1975,Oregon,female,177,71
Osborne,Spinka,03/04/1969,Delaware,male,190,60
Itzel,Huels,22/03/1985,Kentucky,female,199,157
Hertha,Volkman,03/10/1991,Arizona,male,180,71
Glenda,Hayes,22/05/1990,Maryland,male,176,160
Greyson,Muller,17/03/1968,Ohio,female,176,101
Aleen,Koelpin,28/05/1967,Montana,female,176,148
Berry,Fay,26/09/1982,Minnesota,female,184,148
Katarina,Tillman,03/01/1969,NewJersey,female,177,81
Janet,Fadel,01/10/1972,Michigan,female,169,159
Caroline,Hilpert,18/01/1969,Vermont,male,184,108
Rosalind,Paucek,04/08/1991,Missouri,male,176,86
Pearl,O'Hara,19/09/1977,Kentucky,male,182,83
Marianne,Feest,08/12/1989,Massachusetts,male,164,150
Ward,Mraz,09/08/1993,Alabama,male,165,97
Bobby,Reynolds,04/07/1983,NewJersey,female,185,156
Caden,Lind,16/01/1993,Nebraska,female,173,101
Milford,Nitzsche,01/01/1973,Oregon,female,172,66
Sean,Murazik,29/09/1974,Nevada,female,151,125
Aubree,Stiedemann,13/02/1979,Mississippi,female,193,57
Brice,Wolff,04/03/1973,RhodeIsland,male,190,133
Norbert,Reichel,27/08/1968,Michigan,female,197,81
Cydney,Fahey,11/04/1975,Georgia,male,158,150
Hettie,King,27/02/1985,Missouri,female,168,71
Domenic,Langworth,19/02/1986,NewMexico,male,189,106
Keira,Lueilwitz,07/01/1992,Wisconsin,male,158,72
Jon,Kreiger,20/12/1980,Alaska,female,151,124
Chance,Hansen,07/10/1973,Montana,female,188,61
Orlo,Cruickshank,28/01/1985,Wisconsin,female,169,64
Garrison,Kunze,26/10/1966,Vermont,female,165,159
Adalberto,Goodwin,22/11/1988,Alaska,male,159,136
Gene,Funk,21/12/1992,NewHampshire,female,181,129
Audrey,Barton,27/10/1986,Utah,female,168,147
Keshaun,Predovic,26/05/1970,Illinois,female,171,77
Dagmar,Lebsack,14/03/1968,Oregon,male,168,52
Reid,Jacobi,07/02/1984,NewYork,female,187,70
Lonzo,Erdman,19/12/1968,Illinois,male,154,73
Emory,Boyle,11/04/1990,Nevada,male,194,157
Walker,Weissnat,04/10/1984,Colorado,male,191,88
Efren,Marks,28/05/1977,NewMexico,male,172,121
Brian,Blick,14/12/1984,NewYork,male,157,142
Willy,Schulist,21/08/1987,Virginia,female,179,100
Everett,Harris,24/11/1983,Alaska,female,165,140
Ada,Koss,22/07/1976,Wisconsin,male,197,75
Lurline,Gutmann,11/11/1988,Maryland,male,188,116
Loma,Casper,11/05/1982,Connecticut,male,154,87
Lurline,Fay,11/02/1985,Wyoming,male,181,96
Ilene,Doyle,03/12/1974,NorthCarolina,male,192,83
Candice,Padberg,22/09/1968,Alaska,female,156,63
Ariane,Reichert,12/05/1971,Louisiana,male,179,113
Clemmie,Ward,11/10/1977,NewMexico,male,150,128
Valentine,Schaden,27/07/1984,Wyoming,female,161,82
Trever,Hessel,29/05/1972,Florida,female,157,117
Felipe,Rohan,15/08/1990,WestVirginia,female,198,110
Tyrell,Prohaska,07/07/1967,Maryland,male,150,84
Lura,Beahan,18/01/1970,Vermont,female,155,94
Ross,Shanahan,01/03/1967,Ohio,male,169,53
Alexane,Fisher,27/02/1964,NewHampshire,male,193,145
Herminio,Collier,10/11/1976,Illinois,female,165,160
Colt,Breitenberg,09/06/1968,Oklahoma,male,155,113
Morgan,Zboncak,04/12/1974,Wisconsin,female,178,114
Margarita,Rippin,06/02/1988,Georgia,male,192,139
Rolando,Beatty,24/11/1991,NorthDakota,female,179,155
Antonina,Ebert,01/05/1989,Delaware,male,156,150
Broderick,Daugherty,24/05/1983,Georgia,female,196,152
Connor,Walker,14/02/1968,Georgia,female,164,53
Antoinette,Bogisich,24/04/1982,Kansas,male,150,95
Aron,Pfannerstill,31/01/1980,Utah,female,157,79
Brody,Homenick,06/12/1968,Florida,female,179,113
Catherine,Heaney,07/09/1991,SouthCarolina,male,156,125
Frederic,Waelchi,09/09/1973,Maryland,male,163,76
Kenyatta,Bailey,10/09/1989,NorthDakota,female,155,58
Peggie,Hackett,20/04/1976,Oregon,female,161,121
Amelie,Wiegand,24/04/1988,Massachusetts,female,199,135
Gabriella,Yost,16/04/1989,Mississippi,female,162,124
Baylee,Mertz,14/06/1982,Hawaii,female,192,156
Ahmed,O'Keefe,08/12/1989,Ohio,male,192,156
Reese,Reynolds,24/10/1969,Wisconsin,male,193,61
Matt,Nienow,29/09/1966,WestVirginia,female,187,126
Murl,McLaughlin,02/02/1972,Virginia,female,181,141
Kristina,Schneider,07/06/1971,Iowa,female,153,59
Casimer,Stoltenberg,30/08/1991,NewMexico,female,154,70
Damion,Lockman,11/08/1981,Iowa,female,197,96
Lorenz,Rippin,13/03/1975,Alaska,male,186,92
Alexandre,Weimann,16/10/1972,NewMexico,female,171,120
Jayme,Hoppe,16/06/1965,Colorado,female,151,102
Bradford,Osinski,08/11/1964,RhodeIsland,female,185,83
Skye,Dooley,01/01/1993,NewHampshire,female,187,66
Kiley,Lebsack,31/12/1969,Texas,female,153,148
Bethany,Rogahn,08/12/1979,Mississippi,male,198,105
Alvena,Murray,05/07/1992,Iowa,female,177,113
Tremayne,Turcotte,18/12/1967,California,female,167,124
Albina,O'Reilly,09/01/1985,NewYork,male,161,116
Hettie,McKenzie,06/08/1965,Ohio,female,188,85
Jennie,Hane,07/12/1976,Illinois,male,152,130
Ruthe,Oberbrunner,08/03/1993,Illinois,female,151,134
Melvina,Grimes,28/02/1980,NewYork,female,198,99
Zachary,Berge,23/11/1977,Delaware,male,192,71
Liliane,Bechtelar,24/11/1991,SouthDakota,male,191,78
Raphaelle,Leffler,06/03/1973,Michigan,female,175,74
Arvel,Barton,14/06/1991,Maine,male,200,133
Cristopher,Champlin,23/05/1982,NewJersey,female,179,61
Prudence,Osinski,05/03/1966,Nebraska,male,168,87
Adelle,McGlynn,09/05/1975,Kentucky,female,177,60
Ephraim,Murazik,21/05/1965,Alabama,male,156,66
Randy,Beahan,18/06/1983,Iowa,male,166,69
Mckenzie,O'Reilly,24/01/1979,Iowa,female,200,63
Arielle,Jenkins,20/12/1966,RhodeIsland,female,199,155
Shaina,Schimmel,29/09/1993,Kansas,male,154,135
Amy,Terry,25/09/1964,Arkansas,male,155,80
Annabel,Jaskolski,01/11/1965,Massachusetts,male,182,79
Karley,O'Connell,19/10/1964,Ohio,male,186,144
Kaylie,Boyle,03/08/1966,Delaware,male,174,73
Rebekah,Marquardt,23/08/1993,Iowa,female,192,133
Rae,Hoppe,21/07/1988,Florida,female,175,146
Brittany,Gerlach,27/03/1967,Minnesota,female,195,71
Francisco,Witting,17/04/1976,Maryland,male,153,71
Cathy,Rogahn,11/06/1989,Oklahoma,female,184,67
Earlene,Ryan,04/03/1964,Utah,female,173,78
Elfrieda,Rohan,30/04/1991,Florida,male,176,90
Cody,Hilll,22/09/1966,Iowa,male,190,160
Elizabeth,McDermott,21/01/1973,Delaware,male,192,129
Gerson,Jast,05/07/1986,Iowa,male,199,71
Maymie,Hermann,18/01/1974,Michigan,male,172,52
Stephen,Parker,22/12/1988,Connecticut,female,150,108
Kyleigh,Yost,01/09/1971,Nebraska,male,186,97
Monty,Strosin,22/09/1970,NorthDakota,male,181,103
Lois,Ankunding,18/09/1967,Ohio,female,181,66
Mckenzie,Schaefer,08/05/1977,Arizona,female,179,118
Elnora,Bogan,05/02/1966,RhodeIsland,male,166,65
Jessica,Gusikowski,28/04/1969,NewMexico,male,166,154
Enos,Satterfield,20/11/1977,Maryland,female,180,135
Reinhold,Luettgen,15/03/1966,Louisiana,male,186,132
Edmond,Gerhold,07/09/1965,NorthDakota,male,152,69
Lindsay,Ernser,15/04/1971,Texas,female,157,69
Ellen,Luettgen,30/09/1971,Texas,male,155,149
Monica,Spencer,26/03/1979,Washington,male,164,106
Ashton,Sipes,30/12/1985,Illinois,female,182,64
Emelie,Harber,04/01/1976,Texas,male,157,129
Nathanial,Veum,12/12/1993,Alaska,male,196,53
Reginald,Goldner,28/01/1981,SouthDakota,male,152,89
Bailey,Monahan,30/10/1974,Oregon,male,159,155
Brielle,Harris,01/06/1974,Michigan,female,151,124
Landen,O'Conner,21/12/1978,Nevada,male,153,130
Euna,Connelly,23/05/1991,Georgia,male,156,147
Herbert,Langosh,11/12/1975,California,male,186,160
Boyd,Daugherty,01/07/1974,SouthCarolina,female,186,80
Oral,Hane,15/12/1967,Pennsylvania,female,160,150
Rachelle,Purdy,12/08/1971,Colorado,male,193,55
Columbus,Lueilwitz,28/11/1965,Montana,male,155,157
Alexandra,Graham,08/03/1978,Louisiana,female,175,52
Hunter,Schultz,09/07/1987,NorthCarolina,female,193,72
Jeanie,Leffler,18/12/1987,Vermont,male,199,75
Eino,Schroeder,23/09/1970,NorthDakota,male,191,83
Lera,Hermann,04/05/1983,Colorado,male,193,97
Gillian,Effertz,17/11/1975,Michigan,male,152,64
Helen,Balistreri,29/08/1983,Minnesota,male,157,144
Sylvester,Leffler,15/05/1981,Nevada,male,188,57
Jay,Welch,12/08/1987,NewHampshire,male,175,151
Tillman,Quigley,12/01/1976,NorthCarolina,male,199,52
Keith,Bauch,21/08/1981,Alaska,male,173,109
Effie,Mann,06/11/1967,Mississippi,male,165,92
Santino,Bernhard,07/09/1980,Utah,female,154,88
Omari,Walker,04/10/1979,Florida,male,178,68
Mohammad,Herman,06/01/1987,Massachusetts,male,188,51
Annabell,Boehm,07/03/1992,SouthDakota,female,191,56
Mandy,Hane,12/12/1979,Florida,male,194,73
Erna,Bayer,03/02/1968,Tennessee,male,160,158
Percival,Frami,19/06/1978,Tennessee,male,172,102
Marquise,Flatley,03/09/1982,Nebraska,male,188,98
Rickie,Sawayn,04/01/1992,NorthDakota,female,150,149
Orion,Torp,28/12/1972,Georgia,male,165,71
Tavares,Bins,22/10/1991,Colorado,female,190,82
Amanda,Schimmel,18/02/1989,Utah,female,176,144
Antwan,Nikolaus,27/01/1965,Mississippi,female,177,116
Mekhi,Veum,29/12/1974,Missouri,female,200,95
Oren,Jaskolski,27/08/1986,Wyoming,male,178,81
Thad,Connelly,14/02/1981,Wyoming,male,200,105
Owen,Champlin,10/02/1975,Missouri,female,175,155
Claudine,Kutch,29/06/1967,Oklahoma,male,196,126
Francisco,Schmidt,11/01/1965,NewYork,female,167,128
Patsy,Auer,17/07/1964,Ohio,male,165,50
Mario,Ward,22/02/1966,Vermont,male,183,138
Hermina,Jones,17/04/1972,Kentucky,male,168,84
Ebba,West,28/01/1977,Arizona,female,161,143
Kendall,Paucek,15/09/1966,Illinois,male,154,141
Adelbert,Von,25/09/1964,Delaware,female,151,93
Clair,Rice,01/02/1970,Minnesota,male,158,92
Isom,Russel,13/02/1982,Utah,male,164,147
Arielle,Kutch,03/10/1990,Mississippi,female,194,136
Guadalupe,Schinner,03/08/1971,Alaska,male,196,63
Wallace,Conn,19/03/1983,WestVirginia,male,192,98
Emmitt,Mohr,12/07/1993,Montana,male,198,60
Lauretta,Mayert,03/02/1992,Utah,female,168,100
Deshaun,Anderson,02/03/1977,Louisiana,male,182,125
Bobbie,Wolf,26/12/1981,Maine,male,175,135
Sydnie,Boehm,27/12/1983,Iowa,female,189,138
Gabriel,Crona,22/09/1992,NewMexico,female,167,156
Viva,Hilll,18/11/1971,RhodeIsland,female,170,77
Ruthie,Klocko,08/07/1975,Kentucky,female,171,63
Joy,Rippin,05/08/1983,Oklahoma,female,156,53
Sydni,Kuhlman,01/11/1971,Wyoming,male,176,146
Arlene,Hane,19/05/1973,NewJersey,male,197,141
William,Corkery,07/07/1971,Maine,female,156,71
